,Goal0,Goal1,Goal2,Goal3,Goal4,Goal5
1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2,0.09995963061563366,0.1800080738768733,0.1800080738768733,0.1800080738768733,0.1800080738768733,0.1800080738768733
3,0.048103845137949616,0.1013378671784927,0.1013378671784927,0.249740140168355,0.249740140168355,0.249740140168355
4,0.07657815877904696,0.125593279415074,0.125593279415074,0.22407842746360165,0.22407842746360165,0.22407842746360165
5,0.09501197107992437,0.1376992662929418,0.1376992662929418,0.20986316544473066,0.20986316544473066,0.20986316544473066
6,0.04910273467694277,0.0824049267490204,0.0824049267490204,0.3193396132596782,0.3193396132596782,0.14740818530566008
7,0.025178986596284102,0.048351248850009104,0.048351248850009104,0.2748102071049705,0.5057334649681118,0.0975748436306155
8,0.0057838853178879945,0.013643069797405549,0.013643069797405549,0.14473924500568855,0.7883713807544462,0.03381934932716611
9,9.9463721478503E-4,0.002881907988117573,0.002881907988117573,0.057884669304565,0.9265816934150799,0.008775184089334894
10,9.392234647701815E-5,3.537921077221428E-4,3.537921077221428E-4,0.015394400520137633,0.9824330603921989,0.0013710325257422608
11,0,0,0,0,1,0